StudyID,Year,FocusArea
1,2018,Interactive Visualization
2,2019,Color Hierarchy
3,2019,Narrative Visualization
4,2020,Visual Complexity
5,2020,Interactive Visualization
6,2021,Narrative Visualization
7,2021,Color Hierarchy
8,2022,Enterprise BI
9,2022,UX Visualization
10,2023,Visual Analytics
11,2023,Dashboard Design
12,2023,Cognitive Analytics
13,2024,Interactive Visualization
14,2024,Color Hierarchy
15,2024,Narrative Visualization
16,2024,Visual Complexity
17,2024,Business Intelligence
18,2025,Adaptive Dashboards
19,2025,AI Visualization
20,2025,Decision Support
21,2025,Real-Time Analytics
